Comment,Designator,Footprint,LCSC Part #,Notes
"20pF Unpolarized capacitor, small symbol","C1,C3",C_0805_2012Metric,C1798,
"100uF Unpolarized capacitor, small symbol","C2,C10,C13,C23,C25,C34",C_1206_3216Metric,C16133,
"10pF Unpolarized capacitor, small symbol","C4,C9",C_0805_2012Metric,C15008,
"0.1uF Unpolarized capacitor, small symbol","C5,C6,C7,C8",C_0805_2012Metric,C49678,
"100nF Unpolarized capacitor, small symbol","C11,C14,C16,C17,C19,C24,C26,C27,C28,C29,C30,C31,C35,C38,C39",C_0805_2012Metric,C49678,
"4.7uF Unpolarized capacitor, small symbol","C12,C15,C18",C_0805_2012Metric,C1779,
"10nF Unpolarized capacitor, small symbol",C20,C_0805_2012Metric,C1710,
"1uF Unpolarized capacitor, small symbol","C21,C40,C41,C42,C43",C_0805_2012Metric,C28323,
"10uF Unpolarized capacitor, small symbol","C22,C36,C37",C_0805_2012Metric,C15850,
"22pF Unpolarized capacitor, small symbol","C32,C33",C_0805_2012Metric,C1804,
"SOD-123 Diode, small symbol","D2,D3",D_SOD-123,C81598,
"Red Light emitting diode, small symbol",D10,LED_0805_2012Metric,C84256,
"1N4148 Diode, small symbol",DRST1,D_SOD-123,C81598,
"500mA Resettable fuse, polymeric positive temperature coefficient, small symbol","F1,F2,F3,F4,F5,F6,F7",Fuse_1206_3216Metric,C70069,Extended
"60 @ 100 MHz Ferrite bead, small symbol","FB1,FB2,FB3,FB4,FB5,FB6,FB7",L_0805_2012Metric,C1017,
FE2.1 ,IC1,FE2.1,C39693,Extended
"SOD-123 Diode, small symbol","KD1,KD2,KD3,KD4,KD5,KD6,KD7,KD8,KD9,KD10,KD11,KD12,KD13,KD14,KD15,KD16,KD17,KD18,KD19,KD20,KD21,KD22,KD23,KD24,KD25,KD26,KD27,KD28,KD29,KD30,KD31,KD32,KD33,KD34,KD35,KD36,KD37,KD38,KD39,KD40,KD41,KD42,KD43,KD44,KD45,KD46,KD47,KD48,KD49,KD50,KD51,KD52,KD53,KD54,KD55,KD56,KD57,KD58,KD59,KD60,KD61,KD62,KD63,KD64,KD65,KD66,KD67,KD68,KD69,KD70,KD71,KD72,KD73,KD74,KD75,KD76,KD77,KD78,KD79,KD80,KD81,KD82,KD83,KD84,KD85,KD86,KD87,KD88,KD89,KD90",D_SOD-123,C81598,
"10uF Unpolarized capacitor, small symbol","LC1,LC2,LC3,LC4,LC5,LC6,LC7,LC8,LC9,LC10,LC11,LC12,LC13,LC14,LC15,LC16,LC17,LC18,LC19,LC20,LC21,LC22,LC23,LC24,LC25,LC26,LC27,LC28,LC29,LC30,LC31,LC32,LC33,LC34,LC35,LC36,LC37,LC38,LC39,LC40,LC41,LC42,LC43,LC44,LC45,LC46,LC47,LC48,LC49,LC50,LC51,LC52,LC53,LC54,LC55,LC56,LC57,LC58,LC59,LC60,LC61,LC62,LC63,LC64,LC65,LC66,LC67,LC68,LC69,LC70,LC71,LC72,LC73,LC74,LC75,LC76,LC77,LC78,LC79,LC80,LC81,LC82,LC83,LC84,LC85,LC86,LC87,LC88,LC89,LC90",C_0805_2012Metric,C15850,
"DTC123J Digital NPN Transistor, 2k2/47k, SOT-23",Q1,SOT-23,C406040,Extended
"330 Resistor, small symbol","R1,R7,R17,R18,R26,R29,R32,R38",R_0805_2012Metric,C17630,
"22 Resistor, small symbol","R2,R3,R4,R6,R19,R20,R24,R25,R31,R33,R34,R37,R43,R44,R45,R46",R_0805_2012Metric,C17561,
"390 Resistor, small symbol",R5,R_0805_2012Metric,C17655,
"5.1K Resistor, small symbol","R8,R9,R10,R11,R27,R28,R35,R36",R_0805_2012Metric,C27834,
"10k Resistor, small symbol","R12,R13,R14,R15,R39,R40,R48,R49",R_0805_2012Metric,C17414,
"470 Resistor, small symbol",R16,R_0805_2012Metric,C17477,
"100k Resistor, small symbol","R21,R23,R30",R_0603_1608Metric,C25803,
"47k Resistor, small symbol",R22,R_0805_2012Metric,C17713,
"2.7k Resistor, small symbol",R41,R_0805_2012Metric,C17530,
"1.5k Resistor, small symbol",R42,R_0805_2012Metric,C4310,
"500 Resistor, small symbol",R47,R_0805_2012Metric,C17710,
"SW_Push Push button switch, generic, two pins",SW1,SKQG-1155865,C318884,
"24LC02BT-I/SN I2C Serial EEPROM, 2Kb, DIP-8/SOIC-8/TSSOP-8/DFN-8",U1,24LC04,C511263,Extended
PRTR5V0U2X ,"U2,U3,U4,U5,U6,U7,U8,U10",SOT143B,C2827688,Extended
"STM32F303CBT6 ARM Cortex-M4 MCU, 128KB flash, 32KB RAM, 72MHz, 2-3.6V, 37 GPIO, LQFP-48",U9,LQFP-48_7x7mm_P0.5mm,C108516,Extended
"XC6206P332MR Positive 60-250mA Low Dropout Regulator, Fixed Output, SOT-23","U11,U13",SOT-23,C5446,
"74LVC1G34 Single Buffef Gate, Low-Voltage CMOS",U12,SOT-23-5,C526347,Extended
"Green Light emitting diode, small symbol","UD1,UD2,UD3,UD4,UD5,UD6,UD7",LED_0805_2012Metric,C2297,
HRO-TYPE-C-31-M-12 ,"USB1,USB2,USB5,USB7",HRO-TYPE-C-31-M-12-Assembly,C165948,Extended
"8MHz Four pin crystal, GND on pins 2 and 4, small symbol",Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738,
"32.768KHz Two pin crystal, small symbol",Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346,
"12MHz Four pin crystal, GND on pins 2 and 4, small symbol",Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,
